company,industry,tier,total_score,engagement_score,fit_score,recency_score,tech_score,champion_title,reasons
Vantage Retail Co,Retail,1:1,80.8,92.7,74.6,98.3,50.0,Head of Growth,requested a demo; high recent engagement (visits + opens); strong ICP fit (size/funding/ARR potential); existing stack overlap (Salesforce+Snowflake); touched within the last few days
Cobalt Ridge Insurance,Insurance,1:1,76.7,73.3,61.6,96.7,100.0,VP Data Platform,requested a demo; high recent engagement (visits + opens); strong ICP fit (size/funding/ARR potential); existing stack overlap (Snowflake+Databricks); touched within the last few days
Harborstone Financial,FinServ,1:1,73.4,83.3,65.1,93.3,50.0,Chief Data Officer,requested a demo; high recent engagement (visits + opens); strong ICP fit (size/funding/ARR potential); existing stack overlap (Snowflake); touched within the last few days
Brightline Logistics,Supply Chain,1:1,68.4,72.0,61.2,95.0,50.0,VP Operations,requested a demo; high recent engagement (visits + opens); strong ICP fit (size/funding/ARR potential); existing stack overlap (Snowflake); touched within the last few days
Ashgrove Energy,Energy,1:few,59.5,39.3,75.0,80.0,50.0,Director of IT,strong ICP fit (size/funding/ARR potential); existing stack overlap (Snowflake); touched within the last few days
Nimbus Cloud Systems,SaaS/Infra,1:few,52.6,48.0,20.8,90.0,100.0,Head of Platform,existing stack overlap (Snowflake+dbt); touched within the last few days
Meridian Wellness,Healthtech,1:many,44.1,24.0,47.6,76.7,50.0,Director of Data,existing stack overlap (Databricks)
Anvergate Materials,Manufacturing,1:many,33.8,10.0,76.0,25.0,0.0,IT Manager,strong ICP fit (size/funding/ARR potential)
Northwind Analytics,Data/Analytics,1:many,33.6,40.7,17.5,88.3,0.0,Founder/CEO,touched within the last few days
Pinehill Media,Media/AdTech,1:many,32.9,18.0,47.5,66.7,0.0,VP Marketing,baseline nurture signals only
Ironvale Robotics,Robotics,1:many,31.8,16.0,53.4,50.0,0.0,Eng Manager,baseline nurture signals only
Marrow Biotech,Biotech,1:many,29.8,30.7,18.6,83.3,0.0,Head of R&D Ops,touched within the last few days
Alderway Retailers,Retail,1:many,29.7,9.3,72.1,8.3,0.0,Category Manager,strong ICP fit (size/funding/ARR potential)
Circuit Peak Semiconductors,Hardware,1:many,29.4,8.0,76.0,0.0,0.0,Procurement Lead,strong ICP fit (size/funding/ARR potential)
Copperline Freight,Logistics,1:many,24.6,10.7,52.4,16.7,0.0,Ops Analyst,baseline nurture signals only
